year,violation_count
1900,61
1901,1
1902,1
1905,1
1906,1
1908,3
1925,3
1930,3
1971,1
1975,23
1976,61
1977,27
1978,420
1979,1437
1980,2300
1981,1800
1982,2551
1983,2535
1984,3820
1985,4010
1986,2724
1987,2435
1988,4213
1989,3969
1990,3510
1991,23217
1992,32556
1993,40085
1994,43561
1995,42640
1996,47162
1997,42098
1998,49642
1999,44020
2000,44335
2001,46743
2002,49664
2003,54536
2004,63993
2005,82400
2006,85141
2007,84698
2008,82673
2009,79076
2010,76986
2011,74831
2012,70305
2013,69670
2014,69498
2015,75372
2016,57991
2017,52530
2018,52018
2019,50422
2020,42044
2021,41772
2022,41089
2023,38543
2024,34199
2025,251
